queries,overlapped count,% overlap,coeff
Query 1,3,30.00,-9.0000
Query 2,2,20.00,0.0000
Query 3,2,20.00,-52.0000
Query 4,0,0.00,0.0000
Query 5,1,10.00,1.0000
Query 6,1,10.00,0.0000
Query 7,1,10.00,1.0000
Query 8,1,10.00,1.0000
Query 9,4,40.00,-4.4000
Query 10,0,0.00,0.0000
Query 11,2,20.00,-12.0000
Query 12,0,0.00,0.0000
Query 13,0,0.00,0.0000
Query 14,0,0.00,0.0000
Query 15,1,10.00,0.0000
Query 16,4,40.00,-2.8000
Query 17,3,30.00,-0.5000
Query 18,2,20.00,-12.0000
Query 19,1,10.00,1.0000
Query 20,0,0.00,0.0000
Query 21,3,30.00,-1.2500
Query 22,1,10.00,0.0000
Query 23,1,10.00,0.0000
Query 24,0,0.00,0.0000
Query 25,1,10.00,0.0000
Query 26,0,0.00,0.0000
Query 27,1,10.00,0.0000
Query 28,4,40.00,-8.5000
Query 29,0,0.00,0.0000
Query 30,2,20.00,-17.0000
Query 31,4,40.00,-3.5000
Query 32,0,0.00,0.0000
Query 33,1,10.00,0.0000
Query 34,2,20.00,-9.0000
Query 35,0,0.00,0.0000
Query 36,2,20.00,-24.0000
Query 37,0,0.00,0.0000
Query 38,0,0.00,0.0000
Query 39,1,10.00,1.0000
Query 40,1,10.00,0.0000
Query 41,4,40.00,-4.2000
Query 42,5,50.00,-1.3500
Query 43,0,0.00,0.0000
Query 44,1,10.00,1.0000
Query 45,3,30.00,-8.5000
Query 46,1,10.00,0.0000
Query 47,0,0.00,0.0000
Query 48,4,40.00,-0.2000
Query 49,5,50.00,-3.1000
Query 50,2,20.00,-1.0000
Query 51,1,10.00,0.0000
Query 52,6,60.00,-2.0286
Query 53,0,0.00,0.0000
Query 54,1,10.00,0.0000
Query 55,2,20.00,-1.0000
Query 56,0,0.00,0.0000
Query 57,3,30.00,-15.5000
Query 58,3,30.00,-0.2500
Query 59,2,20.00,-1.0000
Query 60,0,0.00,0.0000
Query 61,1,10.00,0.0000
Query 62,0,0.00,0.0000
Query 63,3,30.00,-20.2500
Query 64,1,10.00,1.0000
Query 65,0,0.00,0.0000
Query 66,0,0.00,0.0000
Query 67,2,20.00,-16.0000
Query 68,1,10.00,0.0000
Query 69,1,10.00,0.0000
Query 70,3,30.00,-9.7500
Query 71,3,30.00,-1.7500
Query 72,0,0.00,0.0000
Query 73,0,0.00,0.0000
Query 74,3,30.00,-15.5000
Query 75,0,0.00,0.0000
Query 76,0,0.00,0.0000
Query 77,0,0.00,0.0000
Query 78,0,0.00,0.0000
Query 79,2,20.00,-49.0000
Query 80,4,40.00,-5.1000
Query 81,2,20.00,-4.0000
Query 82,0,0.00,0.0000
Query 83,2,20.00,-19.0000
Query 84,1,10.00,0.0000
Query 85,1,10.00,1.0000
Query 86,1,10.00,0.0000
Query 87,0,0.00,0.0000
Query 88,2,20.00,-48.0000
Query 89,1,10.00,0.0000
Query 90,4,40.00,-0.5000
Query 91,2,20.00,0.0000
Query 92,0,0.00,0.0000
Query 93,1,10.00,0.0000
Query 94,0,0.00,0.0000
Query 95,4,40.00,0.3000
Query 96,0,0.00,0.0000
Query 97,1,10.00,1.0000
Query 98,2,20.00,-19.0000
Query 99,0,0.00,0.0000
Query 100,0,0.00,0.0000
Average,1.43,14.30,-3.9263
